,id,bedrooms,beds,review_scores_rating,price,allowed,dryer,essentials,hot,kitchen,long,parking,term,tv,wifi,room_type_entire_home_apt,room_type_private_room,property_type_Entire_condominium_condo,property_type_Entire_loft,property_type_Entire_rental_unit,property_type_Private_room_in_rental_unit,property_type_Private_room_in_residential_home
78,814875,2.0,3.0,4.62,43068.0,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
80,880713,1.0,2.0,4.62,55988.0,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
81,881843,1.0,2.0,4.64,30997.260273972603,2,1,1,2,1,1,1,1,2,2,1,0,0,0,1,0,0
83,903677,1.0,4.0,4.8,64602.0,1,0,1,1,1,1,0,1,2,2,1,0,0,0,1,0,0
84,905085,1.0,1.0,4.62,62485.15890410959,1,2,1,1,1,1,0,1,2,1,1,0,0,0,1,0,0
85,910775,2.0,2.0,4.59,27068.49315068493,2,2,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
89,932079,1.0,1.0,5.0,50785.2,2,2,1,2,1,1,2,1,2,1,1,0,0,0,1,0,0
90,932108,1.0,1.0,4.25,50785.2,2,2,1,2,1,1,2,1,2,1,1,0,0,0,1,0,0
92,948890,2.0,4.0,4.54,55988.0,1,2,1,0,1,1,0,1,2,1,1,0,0,0,1,0,0
93,1004301,1.0,2.0,4.98,35316.0,2,2,1,1,1,1,0,1,2,2,1,0,0,0,1,0,0
95,1041894,2.0,3.0,4.67,30000.0,2,1,2,2,1,1,1,1,1,1,1,0,0,0,1,0,0
96,1046142,1.0,1.0,5.0,40000.0,1,2,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
97,1050604,1.0,1.0,4.42,18000.0,1,2,1,0,1,1,0,1,2,1,1,0,0,0,1,0,0
98,1055812,4.0,5.0,4.94,155045.0,2,2,1,2,1,1,3,1,1,1,1,0,0,0,1,0,0
99,1065916,1.0,1.0,5.0,50820.0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0
101,1132889,2.0,3.0,4.39,57732.45479452055,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
102,1141344,1.0,1.0,4.29,40000.0,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
103,1167599,1.0,1.0,4.0,75693.71232876713,1,0,0,1,1,1,0,1,2,1,1,0,0,0,1,0,0
104,1226526,2.0,2.0,4.61,64602.0,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
105,1262080,1.0,1.0,4.74,64901.61917808219,1,2,1,1,1,1,0,1,2,1,1,0,0,0,1,0,0
106,1264850,1.0,3.0,3.67,43068.0,1,2,1,1,1,1,0,1,2,1,1,0,0,0,1,0,0
107,1300331,1.0,2.0,4.71,46017.19452054794,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
108,1300359,2.0,3.0,4.59,77522.0,1,1,0,0,1,1,1,1,2,1,1,0,0,0,1,0,0
109,1320318,1.0,1.0,5.0,60000.0,1,2,1,1,1,1,2,1,1,1,1,0,0,0,1,0,0
110,1416160,1.0,2.0,5.0,42918.0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0
111,1438448,1.0,1.0,3.5,54266.0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0
112,1446357,2.0,5.0,4.54,272413.4246575342,1,1,1,2,1,1,1,1,1,1,1,0,0,0,1,0,0
113,1480428,1.0,1.0,4.0,60295.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
114,1493528,1.0,1.0,4.67,18017.712328767124,2,2,1,1,1,1,3,1,1,1,1,0,0,0,1,0,0
116,1538606,2.0,3.0,4.81,60295.0,2,0,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
117,1552603,1.0,1.0,5.0,50785.2,2,2,1,2,1,1,2,1,2,1,1,0,0,0,1,0,0
118,1602307,1.0,2.0,4.41,22244.07397260274,1,2,1,1,1,1,2,1,0,1,1,0,0,0,1,0,0
120,1605346,2.0,3.0,4.91,70239.93424657534,2,1,1,1,1,1,2,1,1,1,1,0,0,0,1,0,0
125,1744520,1.0,1.0,4.9,42207.0,1,2,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
131,1873527,1.0,2.0,4.5,38761.0,1,1,1,0,1,1,0,1,2,1,1,0,0,0,1,0,0
132,1903069,1.0,2.0,4.87,43068.0,1,2,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0
133,1905521,3.0,4.0,4.74,85275.0,1,2,1,1,1,1,2,1,1,2,1,0,0,0,1,0,0
135,1932045,1.0,1.0,4.65,37962.0,2,2,1,1,1,1,2,1,1,1,1,0,0,0,1,0,0
136,1947816,2.0,1.0,5.0,60000.0,1,2,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
137,1996807,2.0,2.0,4.5,24500.0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0
141,2065906,1.0,1.0,4.48,49097.0,1,2,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0
143,2098590,1.0,1.0,3.0,47375.0,1,1,0,0,1,1,0,1,2,1,1,0,0,0,1,0,0
147,2124550,1.0,1.0,4.85,53965.90410958904,1,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
148,2124654,1.0,1.0,4.7,22221.91780821918,1,2,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
150,2139248,1.0,1.0,4.91,22132.0,1,2,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
151,2205451,1.0,1.0,4.49,30148.0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0
152,2215096,2.0,3.0,4.47,42312.32876712329,2,2,1,2,1,1,2,1,2,2,1,0,0,0,1,0,0
153,2237756,1.0,1.0,4.88,42008.21917808219,2,1,1,2,1,1,1,1,2,1,1,0,0,0,1,0,0
154,2250077,1.0,2.0,4.64,22575.342465753423,2,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
155,2260567,1.0,1.0,4.72,23271.153424657536,2,2,1,1,1,1,2,1,1,1,1,0,0,0,1,0,0
161,2328402,2.0,3.0,4.82,60295.0,1,2,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
166,2417548,1.0,1.0,3.0,40484.0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0
167,2489528,1.0,2.0,4.79,30148.0,1,1,1,0,1,1,0,1,2,1,1,0,0,0,1,0,0
171,2632931,1.0,2.0,4.63,30000.0,2,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
172,2647154,2.0,2.0,4.9,172272.0,2,2,1,2,1,1,2,1,1,1,1,0,0,0,1,0,0
173,2660266,1.0,2.0,4.87,56681.860273972605,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
174,2683102,3.0,3.0,4.0,46438.356164383564,1,1,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
180,2774785,2.0,3.0,5.0,252579.0082191781,2,1,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
182,2841563,4.0,14.0,4.67,904427.0,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
183,2867171,2.0,3.0,4.0,76629.02739726027,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0
184,2908625,1.0,1.0,4.87,34072.04931506849,2,1,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
185,2912703,2.0,3.0,4.82,43068.0,2,1,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
188,2934747,2.0,2.0,4.86,77522.0,1,2,0,1,1,1,0,1,2,2,1,0,0,0,1,0,0
189,2965306,1.0,1.0,5.0,40484.0,2,2,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
190,2965597,1.0,1.0,5.0,40484.0,2,2,1,1,1,1,0,1,2,2,1,0,0,0,1,0,0
192,2975270,2.0,5.0,4.71,189499.0,1,1,0,1,1,1,1,1,2,0,1,0,0,0,1,0,0
194,3072658,1.0,1.0,5.0,30148.0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0
196,3095078,2.0,3.0,4.64,55988.0,1,2,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0
198,3194401,1.0,1.0,5.0,24118.0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0
199,3219332,2.0,4.0,4.71,53462.0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0
200,3219807,2.0,4.0,5.0,53462.0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0
201,3241048,2.0,4.0,4.29,36177.0,1,0,1,0,0,1,0,1,2,1,1,0,0,0,1,0,0
203,3249622,1.0,1.0,5.0,30148.0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0
204,3303557,2.0,3.0,4.94,92956.39726027397,2,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
205,3344348,1.0,1.0,3.57,51682.0,1,2,1,1,1,1,0,1,2,1,1,0,0,0,1,0,0
206,3344356,1.0,2.0,4.4,47375.0,1,2,1,0,1,1,0,1,2,1,1,0,0,0,1,0,0
209,3385208,1.0,1.0,4.63,59070.50410958904,1,2,1,1,1,1,2,1,1,1,1,0,0,0,1,0,0
210,3400618,2.0,5.0,4.94,387612.0,1,2,1,1,1,1,1,1,2,0,1,0,0,0,1,0,0
213,3552186,1.0,1.0,4.48,24118.0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0
216,3694354,3.0,7.0,4.33,516815.0,1,1,1,1,1,1,1,1,2,0,1,0,0,0,1,0,0
219,3810101,2.0,5.0,4.92,375530.0,1,1,0,1,1,1,1,1,2,0,1,0,0,0,1,0,0
220,3820313,1.0,2.0,4.8,73216.0,2,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
221,3826466,4.0,8.0,4.88,1033631.0,1,2,1,2,1,1,2,1,2,1,1,0,0,0,1,0,0
222,3848551,1.0,2.0,4.57,34986.30136986302,2,2,1,2,1,1,2,1,2,1,1,0,0,0,1,0,0
223,3890306,1.0,1.0,4.0,68047.0,1,1,1,0,1,1,1,1,2,1,1,0,0,0,1,0,0
224,3915305,1.0,1.0,4.47,40398.77534246576,2,1,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
225,3921727,2.0,4.0,4.75,64602.0,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
227,3945531,1.0,1.0,4.57,47375.0,1,2,1,1,1,1,0,1,2,1,1,0,0,0,1,0,0
228,3956736,3.0,3.0,4.36,43075.076712328766,1,0,1,0,1,1,1,1,2,1,1,0,0,0,1,0,0
229,3980490,3.0,7.0,4.48,258408.0,1,2,1,3,1,1,1,1,1,0,1,0,0,0,1,0,0
231,4025528,1.0,1.0,5.0,101640.0,1,2,1,0,1,1,1,1,2,1,1,0,0,0,1,0,0
232,4067303,1.0,1.0,4.87,31870.0,1,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
233,4086161,2.0,3.0,4.8,51682.0,1,2,1,1,1,1,1,1,2,2,1,0,0,0,1,0,0
234,4129206,2.0,3.0,4.85,68682.44383561643,2,1,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
235,4130044,2.0,3.0,4.69,34454.0,2,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
238,4174987,1.0,1.0,4.82,34828.0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0
239,4179673,2.0,3.0,4.8,31095.890410958906,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0
240,4198855,2.0,3.0,4.53,98112.23561643835,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0
242,4270983,1.0,1.0,4.56,30193.0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0
243,4296785,2.0,3.0,4.0,86136.0,1,2,1,0,1,1,0,1,2,1,1,0,0,0,1,0,0
246,4316017,2.0,2.0,4.58,17137.657534246577,2,0,1,1,1,1,3,1,1,1,1,0,0,0,1,0,0
249,4383588,2.0,3.0,4.98,68909.0,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
250,4384847,1.0,1.0,4.65,42150.35342465754,1,2,1,1,1,1,2,1,1,1,1,0,0,0,1,0,0
251,4386318,1.0,1.0,5.0,40000.0,1,2,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
253,4438433,2.0,4.0,5.0,55988.0,1,0,0,0,1,1,0,1,2,1,1,0,0,0,1,0,0
255,4488644,1.0,1.0,4.25,54159.71232876712,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0
256,4489054,1.0,1.0,5.0,54159.71232876712,1,1,1,0,1,1,0,1,2,1,1,0,0,0,1,0,0
257,4489139,1.0,1.0,4.43,51682.0,1,2,1,1,1,1,2,1,2,2,1,0,0,0,1,0,0
258,4489968,1.0,1.0,4.58,54159.71232876712,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
259,4490066,1.0,1.0,4.0,54159.71232876712,1,1,1,1,1,1,0,1,2,1,1,0,0,0,1,0,0
260,4491041,1.0,1.0,4.83,54159.71232876712,1,1,1,1,1,1,0,1,2,1,1,0,0,0,1,0,0
261,4491957,1.0,1.0,4.0,30148.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
262,4508617,1.0,1.0,3.5,35000.0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0
264,4588966,1.0,1.0,4.72,16457.534246575342,1,0,1,1,1,1,2,1,1,1,1,0,0,0,1,0,0
265,4592704,1.0,1.0,4.77,25772.312328767122,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
266,4610949,1.0,3.0,4.8,55988.0,1,2,1,0,1,1,0,1,2,1,1,0,0,0,1,0,0
268,4650090,1.0,1.0,4.56,22378.08219178082,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0
270,4679298,1.0,1.0,5.0,118868.0,2,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
271,4717651,11.0,1.0,4.79,45888.31506849315,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
273,4728700,1.0,1.0,4.78,75000.0,1,2,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
274,4730639,1.0,1.0,5.0,142986.0,2,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
275,4745358,1.0,1.0,4.51,26082.19178082192,2,2,1,1,1,1,3,1,2,1,1,0,0,0,1,0,0
277,4753787,3.0,4.0,5.0,103363.0,1,2,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0
278,4782506,2.0,3.0,4.73,41585.0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0
280,4810849,1.0,1.0,5.0,37065.0,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
281,4820360,2.0,2.0,4.5,39662.19726027397,1,2,1,2,1,1,0,1,2,1,1,0,0,0,1,0,0
282,4840431,4.0,4.0,4.89,86136.0,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
286,4902001,2.0,3.0,4.64,33593.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
287,4909377,2.0,3.0,4.58,85000.0,2,2,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
290,4940225,3.0,3.0,4.61,61170.43287671233,1,1,1,2,1,1,3,1,2,1,1,0,0,0,1,0,0
291,4946925,1.0,1.0,5.0,43000.0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0
293,4956206,3.0,4.0,4.5,90000.0,2,2,1,1,1,1,2,1,1,1,1,0,0,0,1,0,0
294,4956691,1.0,1.0,4.68,68909.0,2,2,1,3,1,1,2,1,2,2,1,0,0,0,1,0,0
295,4978903,1.0,1.0,4.49,73340.54246575343,1,2,1,2,1,1,0,1,2,1,1,0,0,0,1,0,0
299,5099452,2.0,2.0,4.36,41345.0,1,2,1,1,1,1,0,1,2,1,1,0,0,0,1,0,0
301,5103270,1.0,1.0,4.87,40484.0,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
302,5105165,1.0,1.0,5.0,101640.0,1,2,1,0,1,1,1,1,2,1,1,0,0,0,1,0,0
303,5105782,1.0,1.0,4.27,37753.46575342466,2,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0
304,5115990,1.0,1.0,4.3,51682.0,1,1,0,0,1,1,0,1,2,1,1,0,0,0,1,0,0
307,5183706,2.0,3.0,4.0,22766.0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0
308,5192691,1.0,3.0,4.0,50000.0,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
310,5216615,1.0,1.0,4.85,30737.931506849316,2,1,1,1,1,1,1,1,2,2,1,0,0,0,1,0,0
311,5245794,1.0,1.0,5.0,38761.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
312,5272092,1.0,1.0,4.43,20000.0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0
314,5296986,1.0,2.0,4.9,43068.0,0,2,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0
316,5303666,3.0,3.0,4.85,63082.44657534247,1,2,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
317,5309251,1.0,1.0,4.84,34484.687671232874,2,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0
319,5314314,1.0,1.0,4.84,33593.0,2,2,1,1,1,1,2,1,2,2,1,0,0,0,1,0,0
321,5319097,2.0,2.0,4.91,38761.0,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
323,5338059,1.0,1.0,4.89,140000.0,1,2,1,0,1,1,0,1,2,1,1,0,0,0,1,0,0
325,5418047,3.0,7.0,5.0,516815.0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0
326,5442104,1.0,3.0,4.17,49216.438356164384,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
328,5478641,2.0,4.0,4.45,60295.0,1,2,1,1,1,1,0,1,2,1,1,0,0,0,1,0,0
329,5494286,1.0,1.0,4.76,45087.6,1,2,1,2,1,1,2,1,2,1,1,0,0,0,1,0,0
337,5639281,1.0,2.0,4.48,29350.68493150685,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
338,5642381,3.0,7.0,4.94,341711.89589041093,1,1,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
339,5642730,1.0,1.0,4.86,57524.67945205479,2,2,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
341,5663131,1.0,2.0,4.7,36778.490410958904,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0
344,5720508,2.0,2.0,4.74,30288.68493150685,1,2,0,1,1,1,2,1,1,1,1,0,0,0,1,0,0
347,5837566,2.0,3.0,4.68,33647.27671232877,1,2,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
348,5842727,1.0,1.0,4.6,44770.0,2,2,1,1,1,1,2,1,1,1,1,0,0,0,1,0,0
350,5878231,1.0,1.0,5.0,77522.0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0
351,5902870,2.0,2.0,4.94,45142.24657534246,2,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0
353,5904621,1.0,1.0,5.0,18000.0,2,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
354,5954201,1.0,2.0,4.83,34454.0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0
355,5998600,1.0,1.0,4.61,34139.0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
358,6012606,5.0,5.0,5.0,258408.0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0
359,6018721,1.0,1.0,4.93,47806.87397260274,1,2,1,1,1,1,3,1,2,1,1,0,0,0,1,0,0
362,6030102,2.0,2.0,4.94,35000.0,2,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
365,6077572,2.0,4.0,4.67,47540.180821917806,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
368,6114309,1.0,5.0,5.0,42207.0,1,2,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
370,6143869,2.0,2.0,4.7,46513.0,2,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
371,6167523,2.0,2.0,5.0,56000.0,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
372,6186829,3.0,4.0,4.71,123068.0,2,2,1,2,1,1,2,1,1,1,1,0,0,0,1,0,0
376,6261503,2.0,3.0,4.83,96059.08219178082,1,1,2,1,1,0,1,0,2,2,1,0,0,0,1,0,0
378,6291022,1.0,1.0,4.5,28377.61917808219,1,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
379,6291730,1.0,1.0,4.6,38761.0,1,1,1,0,1,1,0,1,2,1,1,0,0,0,1,0,0
381,6318303,2.0,4.0,4.37,52678.08219178082,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
382,6319333,1.0,1.0,4.94,57175.3397260274,2,2,1,2,1,1,1,1,1,1,1,0,0,0,1,0,0
383,6321114,1.0,1.0,4.89,47375.0,2,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
384,6388922,2.0,2.0,4.62,51682.0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0
386,6398797,2.0,4.0,4.74,80000.0,2,2,1,1,1,1,1,1,2,2,1,0,0,0,1,0,0
388,6413886,1.0,1.0,4.87,43068.0,1,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
389,6433339,1.0,1.0,4.65,45481.9397260274,2,2,1,1,1,1,0,1,2,2,1,0,0,0,1,0,0
390,6467727,1.0,1.0,5.0,21000.0,1,2,1,2,1,1,1,1,2,1,1,0,0,0,1,0,0
391,6480781,1.0,1.0,4.93,25095.890410958906,2,2,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
393,6493275,2.0,1.0,4.57,30148.0,2,2,1,0,1,1,4,1,1,1,1,0,0,0,1,0,0
395,6493783,2.0,2.0,5.0,41345.0,1,2,1,1,1,1,0,1,2,1,1,0,0,0,1,0,0
396,6505754,1.0,2.0,4.86,30148.0,0,2,1,2,1,0,0,0,1,1,1,0,0,0,1,0,0
397,6512256,3.0,4.0,4.5,38761.0,1,2,1,0,1,1,0,1,2,1,1,0,0,0,1,0,0
